TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR45,L1-R1,BEFORE,LH,856.4,31.75,29.35,4.25,22.01.2025
CMRLTR45,L1-R1,BEFORE,RH,856.55,31.55,30.95,6.85,22.01.2025
CMRLTR45,L1-R1,AFTER,LH,843.05,29.1,32.15,10.35,25.01.2025
CMRLTR45,L1-R1,AFTER,RH,842.85,28.85,31.95,10.1,25.01.2025
CMRLTR45,L2-R2,BEFORE,LH,856.35,31.8,29.75,4.3,22.01.2025
CMRLTR45,L2-R2,BEFORE,RH,856.05,31.75,31.95,7.55,22.01.2025
CMRLTR45,L2-R2,AFTER,LH,843.65,29.15,32.05,10.4,25.01.2025
CMRLTR45,L2-R2,AFTER,RH,843.35,29.0,32.0,10.15,25.01.2025
CMRLTR45,L3-R3,BEFORE,LH,856.55,31.75,30.45,5.05,22.01.2025
CMRLTR45,L3-R3,BEFORE,RH,856.85,31.15,31.25,7.1,22.01.2025
CMRLTR45,L3-R3,AFTER,LH,842.65,29.05,32.15,10.5,25.01.2025
CMRLTR45,L3-R3,AFTER,RH,842.35,29.05,32.05,10.15,25.01.2025
CMRLTR45,L4-R4,BEFORE,LH,857.25,31.65,29.7,5.3,22.01.2025
CMRLTR45,L4-R4,BEFORE,RH,856.8,31.35,31.3,7.45,22.01.2025
CMRLTR45,L4-R4,AFTER,LH,843.25,29.15,32.2,10.4,25.01.2025
CMRLTR45,L4-R4,AFTER,RH,843.2,29.05,32.05,10.15,25.01.2025
CMRLTR45,L5-R5,BEFORE,LH,857.45,31.2,29.25,4.5,22.01.2025
CMRLTR45,L5-R5,BEFORE,RH,857.65,30.85,30.5,6.7,22.01.2025
CMRLTR45,L5-R5,AFTER,LH,844.15,29.15,32.25,10.45,25.01.2025
CMRLTR45,L5-R5,AFTER,RH,844.05,28.95,32.05,10.15,25.01.2025
CMRLTR45,L6-R6,BEFORE,LH,856.55,31.95,31.0,5.8,22.01.2025
CMRLTR45,L6-R6,BEFORE,RH,857.15,32.0,31.8,7.65,22.01.2025
CMRLTR45,L6-R6,AFTER,LH,844.45,29.15,32.05,10.45,25.01.2025
CMRLTR45,L6-R6,AFTER,RH,844.25,29.05,31.95,10.15,25.01.2025
CMRLTR45,L7-R7,BEFORE,LH,857.85,31.0,29.55,4.75,22.01.2025
CMRLTR45,L7-R7,BEFORE,RH,857.95,30.55,30.65,7.0,22.01.2025
CMRLTR45,L7-R7,AFTER,LH,843.8,29.15,32.0,10.35,25.01.2025
CMRLTR45,L7-R7,AFTER,RH,843.45,29.05,32.05,10.1,25.01.2025
CMRLTR45,L8-R8,BEFORE,LH,857.95,31.0,29.3,5.6,22.01.2025
CMRLTR45,L8-R8,BEFORE,RH,858.05,31.0,30.35,7.0,22.01.2025
CMRLTR45,L8-R8,AFTER,LH,844.35,29.2,32.15,10.4,25.01.2025
CMRLTR45,L8-R8,AFTER,RH,844.15,29.05,32.1,10.15,25.01.2025
CMRLTR45,L9-R9,BEFORE,LH,854.55,32.65,30.45,4.9,22.01.2025
CMRLTR45,L9-R9,BEFORE,RH,855.65,31.65,31.65,7.35,22.01.2025
CMRLTR45,L9-R9,AFTER,LH,846.05,28.95,32.25,10.25,25.01.2025
CMRLTR45,L9-R9,AFTER,RH,845.75,29.0,32.3,10.0,25.01.2025
CMRLTR45,L10-R10,BEFORE,LH,855.35,32.2,30.85,5.05,22.01.2025
CMRLTR45,L10-R10,BEFORE,RH,855.75,31.9,32.3,7.6,22.01.2025
CMRLTR45,L10-R10,AFTER,LH,845.15,29.1,32.05,10.45,25.01.2025
CMRLTR45,L10-R10,AFTER,RH,845.15,29.0,32.0,10.15,25.01.2025
CMRLTR45,L11-R11,BEFORE,LH,856.85,31.5,30.85,5.9,22.01.2025
CMRLTR45,L11-R11,BEFORE,RH,856.65,31.25,31.55,7.35,22.01.2025
CMRLTR45,L11-R11,AFTER,LH,844.75,29.15,31.95,10.45,25.01.2025
CMRLTR45,L11-R11,AFTER,RH,844.55,29.0,32.0,10.15,25.01.2025
CMRLTR45,L12-R12,BEFORE,LH,856.95,31.3,29.15,4.35,22.01.2025
