TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR49,L1-R1,BEFORE,LH,855.5,31.85,28.8,4.55
CMRLTR49,L1-R1,BEFORE,RH,855.5,31.9,32.6,7.1
CMRLTR49,L1-R1,AFTER,LH,835.6,29.0,31.95,9.9
CMRLTR49,L1-R1,AFTER,RH,835.4,29.1,32.0,9.98
CMRLTR49,L2-R2,BEFORE,LH,856.4,31.2,28.5,4.6
CMRLTR49,L2-R2,BEFORE,RH,855.4,32.1,33.1,7.25
CMRLTR49,L2-R2,AFTER,LH,836.1,29.0,32.0,9.9
CMRLTR49,L2-R2,AFTER,RH,836.2,29.0,32.0,9.98
CMRLTR49,L3-R3,BEFORE,LH,856.5,31.4,29.8,4.9
CMRLTR49,L3-R3,BEFORE,RH,856.9,31.15,32.55,7.25
CMRLTR49,L3-R3,AFTER,LH,837.0,29.05,31.95,9.95
CMRLTR49,L3-R3,AFTER,RH,837.1,29.1,32.0,10.0
CMRLTR49,L4-R4,BEFORE,LH,856.7,31.0,29.4,5.25
CMRLTR49,L4-R4,BEFORE,RH,855.6,31.9,33.15,7.7
CMRLTR49,L4-R4,AFTER,LH,837.2,29.0,32.0,9.9
CMRLTR49,L4-R4,AFTER,RH,837.6,29.0,32.0,10.0
CMRLTR49,L5-R5,BEFORE,LH,857.0,30.9,28.4,4.55
CMRLTR49,L5-R5,BEFORE,RH,857.5,30.65,31.8,6.95
CMRLTR49,L5-R5,AFTER,LH,838.1,29.0,32.0,9.9
CMRLTR49,L5-R5,AFTER,RH,838.0,29.0,32.4,10.0
CMRLTR49,L6-R6,BEFORE,LH,857.3,30.9,29.7,5.15
CMRLTR49,L6-R6,BEFORE,RH,857.4,31.1,32.15,6.95
CMRLTR49,L6-R6,AFTER,LH,838.1,28.8,31.9,9.9
CMRLTR49,L6-R6,AFTER,RH,838.0,29.0,32.5,9.95
CMRLTR49,L7-R7,BEFORE,LH,857.8,30.45,27.5,4.35
CMRLTR49,L7-R7,BEFORE,RH,857.7,31.15,32.55,7.6
CMRLTR49,L7-R7,AFTER,LH,838.9,28.9,31.8,9.95
CMRLTR49,L7-R7,AFTER,RH,838.5,29.1,32.4,9.95
CMRLTR49,L8-R8,BEFORE,LH,857.8,30.6,29.7,4.6
CMRLTR49,L8-R8,BEFORE,RH,857.9,30.8,32.05,7.35
CMRLTR49,L8-R8,AFTER,LH,838.8,28.9,32.0,9.9
CMRLTR49,L8-R8,AFTER,RH,838.6,29.1,32.4,9.95
CMRLTR49,L9-R9,BEFORE,LH,855.4,31.7,28.8,4.65
CMRLTR49,L9-R9,BEFORE,RH,855.0,32.2,33.7,7.45
CMRLTR49,L9-R9,AFTER,LH,836.6,28.9,32.0,9.95
CMRLTR49,L9-R9,AFTER,RH,836.4,29.1,32.4,10.0
CMRLTR49,L10-R10,BEFORE,LH,856.1,31.3,28.9,4.45
CMRLTR49,L10-R10,BEFORE,RH,856.2,31.4,33.0,7.35
CMRLTR49,L10-R10,AFTER,LH,837.1,28.9,32.0,10.2
CMRLTR49,L10-R10,AFTER,RH,837.2,29.1,32.2,9.8
CMRLTR49,L11-R11,BEFORE,LH,856.3,31.3,29.0,4.7
CMRLTR49,L11-R11,BEFORE,RH,856.6,31.3,32.2,6.65
CMRLTR49,L11-R11,AFTER,LH,836.1,29.0,32.0,9.95
CMRLTR49,L11-R11,AFTER,RH,836.1,29.0,32.2,9.95
CMRLTR49,L12-R12,BEFORE,LH,856.5,31.2,26.8,4.45
CMRLTR49,L12-R12,BEFORE,RH,857.1,30.8,31.6,6.45
CMRLTR49,L12-R12,AFTER,LH,835.2,29.1,32.0,9.95
CMRLTR49,L12-R12,AFTER,RH,835.4,28.8,32.4,9.95
CMRLTR49,L13-R13,BEFORE,LH,856.9,31.1,28.1,4.5
CMRLTR49,L13-R13,BEFORE,RH,857.2,30.6,31.2,6.55
CMRLTR49,L13-R13,AFTER,LH,836.5,29.3,31.8,10.0
CMRLTR49,L13-R13,AFTER,RH,836.4,29.0,32.5,10.0
CMRLTR49,L14-R14,BEFORE,LH,857.2,30.5,28.0,4.4
CMRLTR49,L14-R14,BEFORE,RH,857.3,31.0,32.1,6.8
CMRLTR49,L14-R14,AFTER,LH,835.7,29.1,31.9,9.8
CMRLTR49,L14-R14,AFTER,RH,835.4,29.0,31.9,9.95
CMRLTR49,L15-R15,BEFORE,LH,856.8,30.9,29.4,5.05
CMRLTR49,L15-R15,BEFORE,RH,857.0,30.95,31.95,6.65
CMRLTR49,L15-R15,AFTER,LH,835.0,29.0,32.0,9.9
CMRLTR49,L15-R15,AFTER,RH,835.1,28.9,31.9,10.0
CMRLTR49,L16-R16,BEFORE,LH,857.5,30.5,27.2,4.5
CMRLTR49,L16-R16,BEFORE,RH,857.7,30.7,30.9,6.15
CMRLTR49,L16-R16,AFTER,LH,835.2,29.0,32.0,9.9
CMRLTR49,L16-R16,AFTER,RH,835.2,28.9,32.0,10.0
