trainid,axle,state,side,wheel_diameter,flange_height,flange_thickness,qr,date,trainfile,data
cmrltr1,L9-R9,before,LH,845.42,37.46,30.55,3.04,2025-04-10,cmrltr1,
cmrltr1,L9-R9,before,RH,845.0,37.53,32.53,6.58,2025-04-10,cmrltr1,
cmrltr1,L9-R9,after,LH,841.58,29.03,32.09,9.79,2025-04-12,cmrltr1,
cmrltr1,L9-R9,after,RH,841.5,29.07,31.84,9.76,2025-04-12,cmrltr1,
cmrltr1,L10-R10,before,LH,846.53,36.8,30.96,2.86,2022-04-10,cmrltr1,
cmrltr1,L10-R10,before,RH,846.09,37.0,32.79,6.26,2022-04-10,cmrltr1,
cmrltr1,L10-R10,after,LH,841.7,29.01,31.95,9.93,2022-04-12,cmrltr1,
cmrltr1,L10-R10,after,RH,841.86,29.11,31.79,9.79,2022-04-12,cmrltr1,
cmrltr1,L11-R11,before,LH,848.01,36.22,31.73,3.31,2022-04-10,cmrltr1,
cmrltr1,L11-R11,before,RH,846.16,36.79,33.09,6.61,2022-04-10,cmrltr1,
cmrltr1,L11-R11,after,LH,843.23,29.06,31.95,10.06,2022-04-12,cmrltr1,
cmrltr1,L11-R11,after,RH,843.44,29.15,31.94,9.76,2022-04-12,cmrltr1,
cmrltr1,L12-R12,before,LH,844.98,37.67,30.34,3.26,2022-04-10,cmrltr1,
cmrltr1,L12-R12,before,RH,848.55,35.9,32.29,7.02,2022-04-10,cmrltr1,
cmrltr1,L12-R12,after,LH,842.26,29.05,31.89,10.32,2022-04-12,cmrltr1,
cmrltr1,L12-R12,after,RH,842.58,29.06,31.92,10.03,2022-04-12,cmrltr1,
cmrltr1,L13-R13,before,LH,848.11,36.11,30.39,3.17,2022-04-10,cmrltr1,
cmrltr1,L13-R13,before,RH,849.16,35.53,32.17,6.64,2022-04-10,cmrltr1,
cmrltr1,L13-R13,after,LH,841.33,29.03,31.89,10.37,2022-04-12,cmrltr1,
cmrltr1,L13-R13,after,RH,841.09,29.05,31.94,10.0,2022-04-12,cmrltr1,
cmrltr1,L14-R14,before,LH,849.59,35.36,30.46,3.09,2022-04-10,cmrltr1,
cmrltr1,L14-R14,before,RH,849.7,35.25,32.23,6.31,2022-04-10,cmrltr1,
cmrltr1,L14-R14,after,LH,841.94,29.03,31.95,10.07,2022-04-12,cmrltr1,
cmrltr1,L14-R14,after,RH,841.71,29.14,31.92,9.76,2022-04-12,cmrltr1,
cmrltr1,L15-R15,before,LH,850.07,35.31,31.89,3.79,2022-04-10,cmrltr1,
cmrltr1,L15-R15,before,RH,848.49,35.72,32.74,6.44,2022-04-10,cmrltr1,
cmrltr1,L15-R15,after,LH,843.86,29.05,31.99,10.12,2022-04-12,cmrltr1,
cmrltr1,L15-R15,after,RH,843.65,29.15,31.95,9.79,2022-04-12,cmrltr1,
cmrltr1,L16-R16,before,LH,851.09,34.7,29.64,3.25,2022-04-10,cmrltr1,
cmrltr1,L16-R16,before,RH,850.53,34.69,31.53,6.27,2022-04-10,cmrltr1,
cmrltr1,L16-R16,after,LH,842.94,29.06,31.95,10.37,2022-04-12,cmrltr1,
cmrltr1,L16-R16,after,RH,842.72,29.04,31.98,10.0,2022-04-12,cmrltr1,
cmrltr1,L8-R8,before,LH,851.29,34.61,30.77,3.56,2022-04-10,cmrltr1,
cmrltr1,L8-R8,before,RH,851.56,34.13,32.1,6.62,2022-04-10,cmrltr1,
cmrltr1,L8-R8,after,LH,844.22,29.04,31.92,10.1,2022-04-12,cmrltr1,
cmrltr1,L8-R8,after,RH,844.36,29.12,31.91,9.85,2022-04-12,cmrltr1,
cmrltr1,L7-R7,before,LH,850.35,35.13,30.94,3.23,2022-04-10,cmrltr1,
cmrltr1,L7-R7,before,RH,850.72,34.72,32.33,6.33,2022-04-10,cmrltr1,
cmrltr1,L7-R7,after,LH,843.88,29.05,31.89,10.03,2022-04-12,cmrltr1,
cmrltr1,L7-R7,after,RH,843.74,29.15,31.94,9.8,2022-04-12,cmrltr1,
cmrltr1,L6-R6,before,LH,849.38,35.4,31.06,3.45,2022-04-10,cmrltr1,
cmrltr1,L6-R6,before,RH,849.59,35.2,32.74,6.7,2022-04-10,cmrltr1,
cmrltr1,L6-R6,after,LH,841.98,29.02,31.95,10.36,2022-04-12,cmrltr1,
cmrltr1,L6-R6,after,RH,841.9,29.05,31.89,10.03,2022-04-12,cmrltr1,
cmrltr1,L5-R5,before,LH,847.6,36.44,29.32,3.07,2022-04-10,cmrltr1,
cmrltr1,L5-R5,before,RH,849.28,35.33,31.41,6.42,2022-04-10,cmrltr1,
cmrltr1,L5-R5,after,LH,841.02,29.03,31.97,10.36,2022-04-12,cmrltr1,
cmrltr1,L5-R5,after,RH,840.93,29.18,31.96,10.03,2022-04-12,cmrltr1,
cmrltr1,L4-R4,before,LH,849.16,35.75,30.26,3.29,2022-04-10,cmrltr1,
cmrltr1,L4-R4,before,RH,847.54,36.05,31.93,6.81,2022-04-10,cmrltr1,
cmrltr1,L4-R4,after,LH,838.09,29.03,31.94,10.36,2022-04-12,cmrltr1,
cmrltr1,L4-R4,after,RH,838.04,29.05,31.89,10.04,2022-04-12,cmrltr1,
cmrltr1,L3-R3,before,LH,847.23,36.66,30.94,2.95,2022-04-10,cmrltr1,
cmrltr1,L3-R3,before,RH,848.11,35.91,33.07,6.69,2022-04-10,cmrltr1,
cmrltr1,L3-R3,after,LH,838.73,29.05,31.99,10.33,2022-04-12,cmrltr1,
cmrltr1,L3-R3,after,RH,838.93,29.07,31.89,10.02,2022-04-12,cmrltr1,
cmrltr1,L2-R2,before,LH,844.55,37.93,32.26,3.45,2022-04-10,cmrltr1,
cmrltr1,L2-R2,before,RH,840.96,39.24,33.89,7.04,2022-04-10,cmrltr1,
cmrltr1,L2-R2,after,LH,838.72,29.08,31.92,10.0,2022-04-12,cmrltr1,
cmrltr1,L2-R2,after,RH,838.64,29.01,31.89,9.72,2022-04-12,cmrltr1,
cmrltr1,L1-R1,before,LH,844.33,37.81,30.58,2.99,2022-04-10,cmrltr1,
cmrltr1,L1-R1,before,RH,845.5,37.19,32.52,6.66,2022-04-10,cmrltr1,
cmrltr1,L1-R1,after,LH,838.24,29.03,32.04,9.93,2022-04-12,cmrltr1,
cmrltr1,L1-R1,after,RH,838.16,29.14,32.0,9.73,2022-04-12,cmrltr1,
CMRLTR10,L9-R9,BEFORE,LH,838.27,38.11,32.07,3.34,2022-08-13,cmrltr10,
CMRLTR10,L9-R9,BEFORE,RH,836.62,39.05,32.42,6.72,2022-08-13,cmrltr10,
CMRLTR10,L9-R9,AFTER,LH,834.16,28.96,31.24,9.99,2022-08-20,cmrltr10,
CMRLTR10,L9-R9,AFTER,RH,834.15,28.97,31.22,9.92,2022-08-20,cmrltr10,
CMRLTR10,L10-R10,BEFORE,LH,838.38,37.71,32.01,3.23,2022-08-13,cmrltr10,
CMRLTR10,L10-R10,BEFORE,RH,837.26,37.75,32.51,6.96,2022-08-13,cmrltr10,
CMRLTR10,L10-R10,AFTER,LH,834.35,28.99,32.01,9.96,2022-08-20,cmrltr10,
CMRLTR10,L10-R10,AFTER,RH,834.58,28.97,31.94,9.98,2022-08-20,cmrltr10,
CMRLTR10,L11-R11,BEFORE,LH,839.11,36.78,32.18,3.49,2022-08-13,cmrltr10,
CMRLTR10,L11-R11,BEFORE,RH,839.38,36.88,32.24,7.11,2022-08-13,cmrltr10,
CMRLTR10,L11-R11,AFTER,LH,833.87,28.97,31.96,10.05,2022-08-20,cmrltr10,
CMRLTR10,L11-R11,AFTER,RH,833.97,28.9,31.97,10.08,2022-08-20,cmrltr10,
CMRLTR10,L12-R12,BEFORE,LH,837.23,37.5,30.69,3.16,2022-08-13,cmrltr10,
CMRLTR10,L12-R12,BEFORE,RH,838.48,37.0,33.26,6.19,2022-08-13,cmrltr10,
CMRLTR10,L12-R12,AFTER,LH,832.99,28.9,31.95,10.03,2022-08-20,cmrltr10,
CMRLTR10,L12-R12,AFTER,RH,832.92,29.07,31.89,10.05,2022-08-20,cmrltr10,
CMRLTR10,L13-R13,BEFORE,LH,840.72,36.31,31.44,3.92,2022-08-13,cmrltr10,
CMRLTR10,L13-R13,BEFORE,RH,847.16,35.86,31.57,6.7,2022-08-13,cmrltr10,
CMRLTR10,L13-R13,AFTER,LH,833.13,28.89,32.1,9.96,2022-08-20,cmrltr10,
CMRLTR10,L13-R13,AFTER,RH,833.28,29.08,31.95,9.87,2022-08-20,cmrltr10,
CMRLTR10,L14-R14,BEFORE,LH,841.44,35.97,32.3,3.48,2022-08-13,cmrltr10,
CMRLTR10,L14-R14,BEFORE,RH,844.66,37.15,33.49,6.03,2022-08-13,cmrltr10,
CMRLTR10,L14-R14,AFTER,LH,832.79,28.93,31.9,10.04,2022-08-20,cmrltr10,
CMRLTR10,L14-R14,AFTER,RH,832.97,28.89,31.94,10.04,2022-08-20,cmrltr10,
CMRLTR10,L15-R15,BEFORE,LH,848.15,35.75,32.07,3.93,2022-08-13,cmrltr10,
CMRLTR10,L15-R15,BEFORE,RH,848.01,35.47,32.95,6.74,2022-08-13,cmrltr10,
CMRLTR10,L15-R15,AFTER,LH,842.91,28.98,32.01,10.08,2022-08-20,cmrltr10,
CMRLTR10,L15-R15,AFTER,RH,843.94,28.92,31.9,9.9,2022-08-20,cmrltr10,
CMRLTR10,L16-R16,BEFORE,LH,849.35,35.23,30.86,3.76,2022-08-13,cmrltr10,
CMRLTR10,L16-R16,BEFORE,RH,849.23,34.92,31.79,6.64,2022-08-13,cmrltr10,
CMRLTR10,L16-R16,AFTER,LH,843.28,28.97,31.9,10.03,2022-08-20,cmrltr10,
CMRLTR10,L16-R16,AFTER,RH,843.4,28.9,31.93,10.07,2022-08-20,cmrltr10,
CMRLTR10,L8-R8,BEFORE,LH,844.43,34.9,30.93,3.32,2022-08-13,cmrltr10,
CMRLTR10,L8-R8,BEFORE,RH,845.25,34.5,32.92,7.07,2022-08-13,cmrltr10,
CMRLTR10,L8-R8,AFTER,LH,840.31,28.92,31.94,10.06,2022-08-20,cmrltr10,
CMRLTR10,L8-R8,AFTER,RH,840.31,28.97,31.91,10.0,2022-08-20,cmrltr10,
CMRLTR10,L7-R7,BEFORE,LH,844.5,35.92,31.37,3.61,2022-08-13,cmrltr10,
CMRLTR10,L7-R7,BEFORE,RH,845.25,35.34,32.44,7.7,2022-08-13,cmrltr10,
CMRLTR10,L7-R7,AFTER,LH,840.45,28.9,31.98,10.08,2022-08-20,cmrltr10,
CMRLTR10,L7-R7,AFTER,RH,840.24,28.9,32.0,10.02,2022-08-20,cmrltr10,
CMRLTR10,L6-R6,BEFORE,LH,841.3,36.51,32.05,3.91,2022-08-13,cmrltr10,
CMRLTR10,L6-R6,BEFORE,RH,842.02,35.24,33.36,7.04,2022-08-13,cmrltr10,
CMRLTR10,L6-R6,AFTER,LH,838.72,28.97,32.01,10.08,2022-08-20,cmrltr10,
CMRLTR10,L6-R6,AFTER,RH,838.42,28.91,31.96,10.04,2022-08-20,cmrltr10,
CMRLTR10,L5-R5,BEFORE,LH,840.94,35.8,30.92,3.54,2022-08-13,cmrltr10,
CMRLTR10,L5-R5,BEFORE,RH,840.98,35.49,32.61,6.69,2022-08-13,cmrltr10,
CMRLTR10,L5-R5,AFTER,LH,837.28,28.9,31.93,10.04,2022-08-20,cmrltr10,
CMRLTR10,L5-R5,AFTER,RH,837.77,28.91,31.93,10.01,2022-08-20,cmrltr10,
CMRLTR10,L4-R4,BEFORE,LH,847.28,36.22,31.87,3.78,2022-08-13,cmrltr10,
CMRLTR10,L4-R4,BEFORE,RH,844.16,37.45,33.15,6.53,2022-08-13,cmrltr10,
CMRLTR10,L4-R4,AFTER,LH,838.98,28.93,31.98,10.08,2022-08-20,cmrltr10,
CMRLTR10,L4-R4,AFTER,RH,838.96,28.97,32.04,10.0,2022-08-20,cmrltr10,
CMRLTR10,L3-R3,BEFORE,LH,847.95,36.63,32.28,3.47,2022-08-13,cmrltr10,
CMRLTR10,L3-R3,BEFORE,RH,846.59,36.62,33.52,6.53,2022-08-13,cmrltr10,
CMRLTR10,L3-R3,AFTER,LH,838.01,28.92,32.2,10.03,2022-08-20,cmrltr10,
CMRLTR10,L3-R3,AFTER,RH,838.09,28.97,31.92,10.06,2022-08-20,cmrltr10,
CMRLTR10,L2-R2,BEFORE,LH,841.58,39.31,31.16,3.4,2022-08-13,cmrltr10,
CMRLTR10,L2-R2,BEFORE,RH,834.78,41.18,32.59,4.21,2022-08-13,cmrltr10,
CMRLTR10,L2-R2,AFTER,LH,829.09,28.93,31.99,10.05,2022-08-20,cmrltr10,
CMRLTR10,L2-R2,AFTER,RH,829.13,28.9,31.92,10.06,2022-08-20,cmrltr10,
CMRLTR10,L1-R1,BEFORE,LH,843.1,38.33,31.76,3.3,2022-08-13,cmrltr10,
CMRLTR10,L1-R1,BEFORE,RH,842.27,37.96,31.96,5.45,2022-08-13,cmrltr10,
CMRLTR10,L1-R1,AFTER,LH,830.03,28.97,31.97,10.03,2022-08-20,cmrltr10,
CMRLTR10,L1-R1,AFTER,RH,830.1,28.95,31.96,10.01,2022-08-20,cmrltr10,
CMRLTR11,L9-R9,BEFORE,LH,843.42,38.79,31.46,2.93,2022-09-19,cmrltr11,
CMRLTR11,L9-R9,BEFORE,RH,842.93,37.89,33.43,6.91,2022-09-19,cmrltr11,
CMRLTR11,L9-R9,AFTER,LH,839.66,29.01,32.01,10.28,2022-09-27,cmrltr11,
CMRLTR11,L9-R9,AFTER,RH,839.74,29.14,31.9,9.99,2022-09-27,cmrltr11,
CMRLTR11,L10-R10,BEFORE,LH,841.61,39.24,32.4,2.72,2022-09-19,cmrltr11,
CMRLTR11,L10-R10,BEFORE,RH,844.19,37.45,34.07,7.27,2022-09-19,cmrltr11,
CMRLTR11,L10-R10,AFTER,LH,838.84,29.03,31.96,10.31,2022-09-27,cmrltr11,
CMRLTR11,L10-R10,AFTER,RH,838.99,29.12,31.92,10.02,2022-09-27,cmrltr11,
CMRLTR11,L11-R11,BEFORE,LH,846.97,36.85,32.05,3.28,2022-09-19,cmrltr11,
CMRLTR11,L11-R11,BEFORE,RH,846.6,36.27,33.57,6.89,2022-09-19,cmrltr11,
